date,new_deaths,confirmed,people_tested,people_hospitalized,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15
2020-05-03,512.0,3438.0,26840.0,846.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-04,277.0,2538.0,21399.0,595.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-05,116.0,2239.0,21589.0,536.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-06,513.0,2786.0,0.0,672.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-07,516.0,3491.0,61017.0,613.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-08,100.0,2938.0,31627.0,527.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-09,375.0,2715.0,32225.0,576.0,-0.0311396694876895,-0.037159285718589556,-0.054303777467912435,-0.025013643185628046,-0.036263333774109695,-0.043122990026893175,-0.03337680992946559,-0.039757409460117125,-0.015459003706492173,-0.15855962989072045,-0.2970196968402762,-0.02004846013322057,-0.23231639956154035,-0.01493953094025167,-0.02039403907820178,-0.2530073240620944
2020-05-10,33.0,2273.0,29230.0,460.0,-0.0331790489683429,-0.03929268377839224,-0.056884338413277266,-0.024061137108330695,-0.03790536219612275,-0.045370026016171676,-0.03489869083495671,-0.04167438778043332,-0.015611282986684216,-0.15798754337451879,-0.29714131360441925,-0.020746608903948784,-0.2320225111162512,-0.01478942580223877,-0.021359476424463373,-0.25261144197152985
2020-05-11,340.0,1660.0,21653.0,428.0,-0.0331790489683429,-0.03929268377839224,-0.056884338413277266,-0.024061137108330695,-0.03790536219612275,-0.045370026016171676,-0.03489869083495671,-0.04167438778043332,-0.015611282986684216,-0.15798754337451879,-0.29714131360441925,-0.020746608903948784,-0.2320225111162512,-0.01478942580223877,-0.021359476424463373,-0.25261144197152985
2020-05-12,294.0,1430.0,20462.0,0.0,-0.0331790489683429,-0.03929268377839224,-0.056884338413277266,-0.024061137108330695,-0.03790536219612275,-0.045370026016171676,-0.03489869083495671,-0.04167438778043332,-0.015611282986684216,-0.15798754337451879,-0.29714131360441925,-0.020746608903948784,-0.2320225111162512,-0.01478942580223877,-0.021359476424463373,-0.25261144197152985
2020-05-13,190.0,2176.0,33794.0,820.0,-0.0331790489683429,-0.03929268377839224,-0.056884338413277266,-0.024061137108330695,-0.03790536219612275,-0.045370026016171676,-0.03489869083495671,-0.04167438778043332,-0.015611282986684216,-0.15798754337451879,-0.29714131360441925,-0.020746608903948784,-0.2320225111162512,-0.01478942580223877,-0.021359476424463373,-0.25261144197152985
2020-05-14,159.0,2390.0,39850.0,470.0,-0.03484895502322616,-0.041132426841836114,-0.059241462191243426,-0.02346639512033742,-0.03941473384696884,-0.047636481364778445,-0.03623427525044318,-0.043550010931064004,-0.015768603018134018,-0.1573885668009673,-0.29734295337692873,-0.021206632922320667,-0.2316651481768678,-0.014512056258672756,-0.021997221037820636,-0.252255426367657
2020-05-15,235.0,2762.0,39291.0,318.0,-0.03484895502322616,-0.041132426841836114,-0.059241462191243426,-0.02346639512033742,-0.03941473384696884,-0.047636481364778445,-0.03623427525044318,-0.043550010931064004,-0.015768603018134018,-0.1573885668009673,-0.29734295337692873,-0.021206632922320667,-0.2316651481768678,-0.014512056258672756,-0.021997221037820636,-0.252255426367657
2020-05-16,172.0,2419.0,40669.0,412.0,-0.04207827836007608,-0.04886910012216547,-0.06884737293974283,-0.020377829235730227,-0.045539336760034056,-0.05642943511197385,-0.041792263600232096,-0.050932373583765816,-0.016347535608451636,-0.15490268941671992,-0.2976344959629844,-0.02345145213229811,-0.2301165698517114,-0.013651434023175587,-0.025109886022347226,-0.2504876637686034
2020-05-17,187.0,1889.0,34679.0,362.0,-0.04207827836007608,-0.04886910012216547,-0.06884737293974283,-0.020377829235730227,-0.045539336760034056,-0.05642943511197385,-0.041792263600232096,-0.050932373583765816,-0.016347535608451636,-0.15490268941671992,-0.2976344959629844,-0.02345145213229811,-0.2301165698517114,-0.013651434023175587,-0.025109886022347226,-0.2504876637686034
2020-05-18,110.0,1250.0,26161.0,345.0,-0.04207827836007608,-0.04886910012216547,-0.06884737293974283,-0.020377829235730227,-0.045539336760034056,-0.05642943511197385,-0.041792263600232096,-0.050932373583765816,-0.016347535608451636,-0.15490268941671992,-0.2976344959629844,-0.02345145213229811,-0.2301165698517114,-0.013651434023175587,-0.025109886022347226,-0.2504876637686034
2020-05-19,212.0,1474.0,28182.0,298.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-20,79.0,1525.0,38097.0,242.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-21,109.0,2088.0,49219.0,198.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-22,112.0,1696.0,45738.0,235.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-23,173.0,1772.0,51268.0,191.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-24,110.0,1589.0,47765.0,261.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-25,89.0,1249.0,39623.0,230.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-26,73.0,1072.0,34679.0,112.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-27,176.0,1129.0,37416.0,201.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-28,45.0,1768.0,65245.0,205.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-29,112.0,1551.0,67341.0,11151.0,-0.04561153618707761,-0.05264677946149098,-0.07353343476933939,-0.01883337533112192,-0.04852417098220037,-0.06072481061211572,-0.0445032961533256,-0.05453555390307254,-0.01661922105230176,-0.15358814082144412,-0.29761065951545207,-0.024542732843542758,-0.22922264149802857,-0.013218048297740368,-0.026625626495545618,-0.2494754852855363
2020-05-30,65.0,1376.0,61251.0,206.0,-0.04863958051776954,-0.05588341252846346,-0.07754584914244814,-0.01750851249510867,-0.051081343123326545,-0.06440340183502276,-0.04682385530554284,-0.057621085246488846,-0.016851448967847526,-0.15241217417379466,-0.2974973164397706,-0.025474810640795098,-0.22838367127160697,-0.012843238877920098,-0.027923783642085347,-0.24852773267402348
2020-05-31,74.0,1110.0,58444.0,190.0,-0.04863958051776954,-0.05588341252846346,-0.07754584914244814,-0.01750851249510867,-0.051081343123326545,-0.06440340183502276,-0.04682385530554284,-0.057621085246488846,-0.016851448967847526,-0.15241217417379466,-0.2974973164397706,-0.025474810640795098,-0.22838367127160697,-0.012843238877920098,-0.027923783642085347,-0.24852773267402348
2020-06-01,123.0,941.0,49952.0,113.0,-0.04863958051776954,-0.05588341252846346,-0.07754584914244814,-0.01750851249510867,-0.051081343123326545,-0.06440340183502276,-0.04682385530554284,-0.057621085246488846,-0.016851448967847526,-0.15241217417379466,-0.2974973164397706,-0.025474810640795098,-0.22838367127160697,-0.012843238877920098,-0.027923783642085347,-0.24852773267402348
2020-06-02,52.0,1329.0,54054.0,158.0,-0.05148813062527317,-0.05893219545863893,-0.08132177923058241,-0.01628850444199281,-0.053492238936668955,-0.06785995925904437,-0.04900409393548572,-0.06052199173601525,-0.017077725927567435,-0.15126856330168592,-0.29730436246063896,-0.02634883304869191,-0.22753206807215878,-0.012491463617958684,-0.029147689414129728,-0.24756468527676972
2020-06-03,51.0,1045.0,61642.0,134.0,-0.05148813062527317,-0.05893219545863893,-0.08132177923058241,-0.01628850444199281,-0.053492238936668955,-0.06785995925904437,-0.04900409393548572,-0.06052199173601525,-0.017077725927567435,-0.15126856330168592,-0.29730436246063896,-0.02634883304869191,-0.22753206807215878,-0.012491463617958684,-0.029147689414129728,-0.24756468527676972
2020-06-04,147.0,1048.0,63559.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-05,62.0,1075.0,66480.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-06,44.0,1108.0,77895.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-07,92.0,781.0,60435.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-08,43.0,702.0,58054.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-09,42.0,683.0,49973.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-10,80.0,674.0,62297.0,0.0,-0.05283382453005956,-0.06037051062641788,-0.08310289198618429,-0.01569570586060552,-0.05462746244209999,-0.0694934835622814,-0.05003334419787456,-0.06189161654278729,-0.017179355469338447,-0.1507108747195216,-0.29719038064568387,-0.026760883256221234,-0.22710868431333212,-0.012321418807191597,-0.02972360916967977,-0.24708792106672436
2020-06-11,38.0,736.0,60839.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-12,178.0,822.0,72395.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-13,37.0,916.0,70840.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-14,30.0,694.0,62359.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-15,33.0,620.0,56611.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-16,50.0,631.0,60568.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-17,30.0,567.0,59341.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-18,35.0,618.0,68541.0,0.0,-0.057990564508523454,-0.06586366225835842,-0.08987245211532795,-0.013254163005319118,-0.05893431993825689,-0.07573205243609649,-0.053938839138664416,-0.06710713911609925,-0.017511971438835802,-0.14787524251634943,-0.29553969506906996,-0.028297142619588343,-0.22450285261018718,-0.011591938395380186,-0.0319003455347768,-0.2441899415552614
2020-06-19,41.0,796.0,79303.0,0.0,-0.059828267518450925,-0.06761723352260474,-0.09159605118693885,-0.010356290407362417,-0.05994532776769659,-0.07767415336930993,-0.054827583248569504,-0.06854159348575031,-0.01694388606881615,-0.1378396355806794,-0.2791716183756948,-0.028291188849648093,-0.21082705585075534,-0.010340682781020655,-0.03230537818731758,-0.22925465359915717
2020-06-20,66.0,716.0,68830.0,0.0,-0.059828267518450925,-0.06761723352260474,-0.09159605118693885,-0.010356290407362417,-0.05994532776769659,-0.07767415336930993,-0.054827583248569504,-0.06854159348575031,-0.01694388606881615,-0.1378396355806794,-0.2791716183756948,-0.028291188849648093,-0.21082705585075534,-0.010340682781020655,-0.03230537818731758,-0.22925465359915717
2020-06-21,42.0,664.0,67526.0,0.0,-0.05911190118547526,-0.0667240958681129,-0.09021918838581104,-0.009412624936782773,-0.05901556810998416,-0.0766299861968755,-0.05396725752244624,-0.0675492057906535,-0.016463036382646602,-0.13252603918339623,-0.2694214493219428,-0.02772796249191216,-0.20312755377925815,-0.009815206244464816,-0.03176843283171937,-0.2208650309064593
2020-06-22,51.0,552.0,56780.0,0.0,-0.05911190118547526,-0.0667240958681129,-0.09021918838581104,-0.009412624936782773,-0.05901556810998416,-0.0766299861968755,-0.05396725752244624,-0.0675492057906535,-0.016463036382646602,-0.13252603918339623,-0.2694214493219428,-0.02772796249191216,-0.20312755377925815,-0.009815206244464816,-0.03176843283171937,-0.2208650309064593
2020-06-23,56.0,597.0,48709.0,0.0,-0.05911190118547526,-0.0667240958681129,-0.09021918838581104,-0.009412624936782773,-0.05901556810998416,-0.0766299861968755,-0.05396725752244624,-0.0675492057906535,-0.016463036382646602,-0.13252603918339623,-0.2694214493219428,-0.02772796249191216,-0.20312755377925815,-0.009815206244464816,-0.03176843283171937,-0.2208650309064593
2020-06-24,25.0,581.0,51144.0,0.0,-0.05911190118547526,-0.0667240958681129,-0.09021918838581104,-0.009412624936782773,-0.05901556810998416,-0.0766299861968755,-0.05396725752244624,-0.0675492057906535,-0.016463036382646602,-0.13252603918339623,-0.2694214493219428,-0.02772796249191216,-0.20312755377925815,-0.009815206244464816,-0.03176843283171937,-0.2208650309064593
