State,Date,Confirmed,Deaths,Recovered,Active,Total_Test_Results,People_Hospitalized
West Virginia,2020-04-18,785,16,255.0,514.0,19440.0,83.0
Wisconsin,2020-04-18,4199,212,0.0,0.0,48161.0,1176.0
Wyoming,2020-04-18,309,2,206.0,101.0,6522.0,50.0
Montana,2020-04-18,426,10,234.0,182.0,10569.0,55.0
Missouri,2020-04-18,5652,197,0.0,0.0,53759.0,875.0
New Jersey,2020-04-18,81420,4070,0.0,0.0,162536.0,7718.0
Minnesota,2020-04-18,2209,121,1118.0,970.0,44268.0,561.0
Alabama,2020-04-18,4788,153,0.0,0.0,85753.0,620.0
Alaska,2020-04-18,314,9,147.0,158.0,9655.0,39.0
Arizona,2020-04-18,4724,180,539.0,4005.0,64671.0,566.0
Arkansas,2020-04-18,1744,38,703.0,1003.0,24141.0,291.0
California,2020-04-18,30624,1126,0.0,0.0,251614.0,4892.0
Colorado,2020-04-18,9047,389,0.0,0.0,43307.0,1755.0
Connecticut,2020-04-18,17550,1086,0.0,0.0,55462.0,1946.0
Delaware,2020-04-18,2538,87,423.0,2028.0,14017.0,224.0
Mississippi,2020-04-18,3974,152,0.0,0.0,38765.0,782.0
Florida,2020-04-18,25492,748,0.0,0.0,411537.0,3842.0
Georgia,2020-04-18,17669,673,0.0,0.0,74208.0,3420.0
Guam,2020-04-18,136,5,110.0,21.0,1079.0,6.0
Hawaii,2020-04-18,574,9,390.0,175.0,22343.0,48.0
District of Columbia,2020-04-18,2666,91,608.0,1967.0,13268.0,313.0
Michigan,2020-04-18,30791,2308,3237.0,25246.0,99727.0,3634.0
Illinois,2020-04-18,29160,1259,0.0,0.0,137404.0,4340.0
Indiana,2020-04-18,10641,665,0.0,0.0,56873.0,0.0
Iowa,2020-04-18,2513,74,1095.0,1344.0,22947.0,193.0
Kansas,2020-04-18,1821,86,0.0,0.0,17676.0,383.0
Kentucky,2020-04-18,2707,144,979.0,1584.0,30596.0,1008.0
Louisiana,2020-04-18,23580,1267,0.0,0.0,137999.0,1761.0
Maine,2020-04-18,847,32,382.0,433.0,14923.0,136.0
Maryland,2020-04-18,12326,421,771.0,11134.0,65370.0,2757.0
Massachusetts,2020-04-18,36372,1404,0.0,0.0,156806.0,3729.0
Idaho,2020-04-18,1655,43,453.0,1159.0,16609.0,151.0
Oregon,2020-04-19,1910,74,0.0,0.0,39038.0,456.0
Oklahoma,2020-04-19,2567,140,1575.0,852.0,35565.0,541.0
Ohio,2020-04-19,11602,618,0.0,0.0,86989.0,2565.0
North Dakota,2020-04-19,585,9,189.0,387.0,13630.0,51.0
North Carolina,2020-04-19,6601,200,0.0,0.0,78772.0,465.0
Nebraska,2020-04-19,1474,28,0.0,0.0,14575.0,0.0
New Mexico,2020-04-19,1845,55,465.0,1325.0,36632.0,258.0
New Hampshire,2020-04-19,1390,38,513.0,839.0,13424.0,192.0
Nevada,2020-04-19,3728,158,0.0,0.0,31598.0,0.0
Puerto Rico,2020-04-19,1213,62,0.0,0.0,16886.0,0.0
New York,2020-04-19,247815,18271,23887.0,205657.0,617555.0,55723.0
Rhode Island,2020-04-19,4706,186,244.0,4276.0,34699.0,331.0
Pennsylvania,2020-04-19,32938,1320,0.0,0.0,166548.0,2634.0
South Dakota,2020-04-19,1635,7,646.0,982.0,12062.0,74.0
Tennessee,2020-04-19,7070,148,3344.0,3578.0,97098.0,724.0
Texas,2020-04-19,13673,521,5334.0,13427.0,182710.0,1471.0
Utah,2020-04-19,3069,27,679.0,2363.0,63555.0,259.0
Vermont,2020-04-19,813,38,15.0,760.0,12726.0,53.0
Virginia,2020-04-19,8542,277,1267.0,6998.0,54733.0,1422.0
Washington,2020-04-19,12255,690,0.0,0.0,135706.0,586.0
West Virginia,2020-04-19,890,18,265.0,607.0,20031.0,72.0
Wisconsin,2020-04-19,4346,220,0.0,0.0,49669.0,1190.0
Wyoming,2020-04-19,313,2,227.0,84.0,7281.0,50.0
