Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,American Samoa,Northern Mariana Islands,Virgin Islands
2020-05-24,348.0,0.0,324.0,147.0,1390.0,210.0,446.0,280.0,144.0,740.0,660.0,1.0,0.0,31.0,2508.0,475.0,353.0,58.0,0.0,244.0,42.0,818.0,1013.0,314.0,728.0,255.0,161.0,0.0,171.0,355.0,60.0,1019.0,318.0,1589.0,501.0,53.0,503.0,77.0,39.0,564.0,89.0,113.0,201.0,99.0,326.0,1029.0,132.0,2.0,495.0,563.0,54.0,400.0,25.0,0.0,0.0,0.0
2020-05-25,633.0,1.0,198.0,107.0,2313.0,95.0,405.0,156.0,115.0,879.0,498.0,0.0,0.0,0.0,1713.0,339.0,306.0,121.0,0.0,640.0,19.0,839.0,596.0,202.0,742.0,198.0,301.0,0.0,228.0,75.0,48.0,941.0,83.0,1249.0,692.0,39.0,566.0,53.0,22.0,351.0,71.0,0.0,82.0,23.0,424.0,473.0,129.0,6.0,1483.0,237.0,15.0,307.0,5.0,0.0,0.0,0.0
2020-05-26,590.0,2.0,289.0,151.0,3125.0,296.0,430.0,101.0,109.0,509.0,583.0,1.0,0.0,0.0,1178.0,363.0,146.0,74.0,380.0,245.0,35.0,535.0,422.0,223.0,645.0,273.0,109.0,0.0,257.0,101.0,34.0,687.0,104.0,1072.0,398.0,-35.0,529.0,48.0,18.0,866.0,64.0,145.0,238.0,67.0,360.0,1034.0,99.0,5.0,1615.0,116.0,0.0,279.0,7.0,0.0,0.0,0.0
2020-05-27,364.0,1.0,454.0,97.0,1807.0,202.0,-15.0,30.0,72.0,379.0,655.0,3.0,1.0,73.0,1111.0,359.0,666.0,92.0,126.0,443.0,28.0,736.0,527.0,504.0,504.0,313.0,248.0,2.0,365.0,93.0,55.0,879.0,122.0,1129.0,461.0,17.0,433.0,91.0,71.0,781.0,73.0,143.0,207.0,57.0,390.0,1370.0,86.0,4.0,907.0,225.0,125.0,599.0,10.0,0.0,0.0,0.0
2020-05-28,486.0,13.0,559.0,261.0,2879.0,354.0,271.0,75.0,86.0,651.0,628.0,1.0,3.0,71.0,1527.0,631.0,217.0,80.0,108.0,305.0,52.0,1286.0,675.0,406.0,483.0,328.0,162.0,4.0,265.0,98.0,103.0,576.0,112.0,1768.0,884.0,42.0,476.0,44.0,48.0,661.0,89.0,141.0,165.0,83.0,394.0,1787.0,215.0,3.0,1152.0,358.0,36.0,512.0,16.0,0.0,0.0,0.0
2020-05-29,513.0,5.0,595.0,239.0,2814.0,491.0,203.0,65.0,46.0,1212.0,615.0,1.0,2.0,0.0,1622.0,490.0,371.0,291.0,279.0,0.0,37.0,1279.0,617.0,607.0,584.0,421.0,112.0,8.0,399.0,128.0,103.0,1667.0,129.0,1551.0,1085.0,39.0,651.0,65.0,45.0,769.0,161.0,141.0,343.0,73.0,384.0,629.0,343.0,1.0,1132.0,307.0,16.0,733.0,15.0,0.0,0.0,0.0
2020-05-30,427.0,4.0,786.0,236.0,3230.0,486.0,260.0,186.0,179.0,927.0,450.0,0.0,2.0,33.0,1462.0,653.0,287.0,28.0,240.0,775.0,56.0,1027.0,789.0,348.0,659.0,436.0,211.0,12.0,257.0,141.0,0.0,770.0,131.0,1376.0,909.0,34.0,467.0,80.0,54.0,712.0,71.0,184.0,263.0,94.0,503.0,1791.0,269.0,2.0,1078.0,278.0,38.0,523.0,7.0,0.0,0.0,0.0
2020-05-31,511.0,26.0,678.0,240.0,1982.0,280.0,179.0,76.0,84.0,739.0,732.0,0.0,1.0,36.0,1343.0,363.0,308.0,10.0,0.0,339.0,43.0,763.0,664.0,428.0,660.0,294.0,127.0,10.0,196.0,111.0,159.0,838.0,65.0,1110.0,991.0,23.0,480.0,0.0,58.0,428.0,58.0,109.0,467.0,33.0,0.0,1699.0,264.0,4.0,996.0,353.0,21.0,173.0,5.0,0.0,0.0,0.0
2020-06-01,325.0,8.0,193.0,190.0,2769.0,199.0,539.0,107.0,56.0,667.0,839.0,3.0,0.0,0.0,974.0,256.0,147.0,220.0,342.0,425.0,24.0,549.0,3840.0,135.0,358.0,229.0,297.0,4.0,244.0,74.0,34.0,486.0,111.0,941.0,807.0,48.0,471.0,155.0,59.0,495.0,97.0,63.0,287.0,41.0,0.0,988.0,202.0,2.0,791.0,537.0,18.0,140.0,7.0,0.0,0.0,1.0
2020-06-02,209.0,20.0,1135.0,375.0,2604.0,211.0,239.0,80.0,29.0,617.0,305.0,0.0,1.0,94.0,1614.0,407.0,320.0,45.0,139.0,405.0,28.0,848.0,358.0,199.0,300.0,289.0,298.0,4.0,271.0,156.0,64.0,658.0,224.0,1329.0,431.0,21.0,366.0,119.0,33.0,579.0,62.0,121.0,267.0,33.0,1776.0,1837.0,203.0,5.0,841.0,277.0,28.0,374.0,2.0,0.0,1.0,0.0
