h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28
1399.008329,1548.461119,1732.022235,1851.436921,1650.826069,1563.151205,1612.305648,1941.638478,2148.710802,2088.168551,2199.477873,2274.175137,2402.699618,2393.066845,2430.267438,2599.995745,2663.810912,2771.097135,2706.29747,2534.024126,2590.875085,2738.745835,2691.797354,2581.724445,2491.744144,2411.146014,2059.625857,2023.212555
1387.356332,1482.45069,1611.23052,1736.670675,1857.449932,1714.519513,1578.355233,1661.105196,2010.749954,2152.632685,2104.686323,2202.660691,2273.13014,2442.011372,2426.942613,2468.258702,2599.156991,2649.468575,2743.601642,2676.791864,2475.932222,2564.768562,2718.178761,2677.252589,2590.576364,2509.178943,2428.252343,2026.062137
1870.536596,2096.833779,2178.774272,2266.778541,2393.652123,2479.704446,2257.725002,2028.496707,2116.350355,2355.921497,2468.285352,2426.083006,2518.51209,2611.10898,2875.293612,2858.557799,2890.421696,2993.621303,3037.764751,3134.817865,3056.92196,2743.05504,2835.219316,2968.950848,2936.723789,2858.315281,2776.586133,2683.994328
2644.156773,2254.062565,2449.057338,2505.053011,2594.06292,2684.457303,2818.101681,2444.406247,2201.04007,2261.236022,2450.964094,2549.86666,2510.052939,2631.504802,2776.356158,3069.767497,3056.860461,3081.981811,3172.529277,3218.042072,3331.199764,3209.478209,2883.853385,2964.195304,3069.501364,3040.348322,2961.620268,2868.110231
2047.581647,2504.863787,2168.729106,2301.98268,2358.618224,2422.035649,2562.423504,2787.409623,2390.666153,2223.91544,2271.58755,2438.586034,2531.89078,2479.575531,2669.565355,2830.441595,3056.72702,3046.551173,3068.592677,3161.948963,3215.013956,3391.836217,3265.554799,2981.699445,3044.964187,3140.225501,3110.953649,3020.8773
2114.234442,1673.160537,2067.189424,1837.485074,1972.261359,2012.612826,2111.10386,2347.442411,2586.304772,2314.462327,2182.404304,2224.365253,2381.911733,2504.514217,2422.67632,2633.684691,2757.756066,2936.158453,2927.230151,2949.955392,3058.802819,3141.72314,3325.169416,3215.086725,2991.5666,3048.796758,3144.4463,3110.955042
1798.306743,2006.265021,1626.202376,1895.469887,1663.140668,1759.165538,1821.833767,1987.640334,2238.555299,2402.220068,2186.934776,2070.69742,2110.283408,2317.299561,2509.089328,2418.197716,2580.932118,2678.749419,2835.279898,2826.074637,2852.570806,3022.65777,3108.684405,3268.599141,3181.915213,2979.715824,3037.179219,3146.616212
1135.733155,1351.293714,1530.486299,1270.762898,1543.107374,1377.578378,1526.710713,1632.210711,1808.243562,1980.166588,2109.780701,1920.286776,1810.628377,1862.644384,2186.484313,2399.491754,2329.394098,2457.693151,2543.518174,2704.904295,2694.171552,2735.574947,2912.033612,2987.025194,3112.949054,3034.533578,2831.510146,2897.25663
1343.721729,1407.15634,1592.899626,1715.354459,1452.663155,1646.702062,1389.625683,1640.685294,1752.692108,1873.307076,2009.461305,2123.547534,1944.77884,1800.687648,1882.057435,2241.723728,2405.999858,2350.735189,2463.30494,2551.792291,2739.958131,2723.186952,2766.141378,2919.964837,2979.01649,3092.928951,3014.1939,2781.905554
1737.816378,2022.90848,2077.56854,2204.499925,2328.35407,2141.192817,2442.546782,2009.766761,2276.310721,2353.056045,2448.576921,2568.419755,2676.048778,2441.146624,2215.7416,2306.113314,2583.49605,2713.010594,2664.521304,2780.583016,2883.753578,3177.784932,3160.385481,3197.829934,3318.957257,3372.376197,3486.752896,3396.668542
2037.982734,2182.075093,2427.732017,2465.085061,2593.466912,2681.710019,2391.037459,2898.35741,2438.885253,2621.517022,2682.295387,2766.372779,2879.432587,3020.857179,2653.394565,2403.053015,2472.749714,2691.436985,2805.073209,2755.079761,2890.400254,3051.616446,3356.662635,3341.495096,3370.980497,3480.553943,3534.190587,3665.054173
1859.190045,2053.135772,2177.29665,2345.171216,2382.9511,2474.420089,2611.466884,2122.128745,2660.738155,2345.914991,2490.549997,2544.047061,2623.365728,2771.926373,2993.159976,2585.045027,2391.975992,2446.924548,2638.801036,2755.962303,2697.673157,2909.127414,3076.382995,3342.299435,3330.355851,3357.028752,3467.048754,3528.416878
1664.11387,1668.011922,1835.130234,1919.97805,2089.770947,2116.688208,2258.744989,2489.458971,1969.940418,2338.987196,2089.663376,2216.970982,2267.440148,2371.664916,2604.061606,2849.77025,2535.02282,2382.808082,2431.020015,2628.848592,2765.451097,2674.36742,2893.743056,3039.543955,3248.938195,3238.133864,3264.915468,3390.794358
