Date,Confirmed,Deaths,Recovered,Active,People_Tested,People_Hospitalized,Mortality_Rate,Total_Test_Results,Case_Fatality_Ratio,cumulative_Confirmed,cumulative_Deaths,cumulative_Recovered,cumulative_Active,cumulative_People_Tested,cumulative_People_Hospitalized
2021-10-02,12280682.0,139748.0,0.0,0.0,0.0,0.0,0.0,196541090.0,-9.910285306716645,43700136.0,702509.0,0.0,0.0,0.0,0.0
2021-04-01,-13089139.0,-149929.0,0.0,0.0,0.0,0.0,0.0,-213492924.0,10.902086803797047,30610997.0,552580.0,0.0,0.0,0.0,0.0
2021-07-13,3386767.0,54768.0,0.0,0.0,0.0,0.0,0.0,102459934.0,-2.1174172575214527,33997764.0,607348.0,0.0,0.0,0.0,0.0
2021-03-15,-4434060.0,-72109.0,0.0,0.0,0.0,0.0,0.0,-125096677.0,3.1809378228811056,29563704.0,535239.0,0.0,0.0,0.0,0.0
2021-03-26,663854.0,12274.0,0.0,0.0,0.0,0.0,0.0,14614963.0,-0.48685481246177176,30227558.0,547513.0,0.0,0.0,0.0,0.0
2020-04-27,-29238605.0,-490709.0,206169.0,378496.0,5873756.0,128673.0,244.61097776207208,-392528315.0,-95.5425093959588,988953.0,56804.0,206169.0,378496.0,5873756.0,128673.0
2020-06-11,1035604.0,56876.0,334123.0,431151.0,17190507.0,93310.0,-4.488868481310817,0.0,0.0,2024557.0,113680.0,540292.0,809647.0,23064263.0,221983.0
2021-05-28,31293706.0,479380.0,-540292.0,-809647.0,-23064263.0,-221983.0,-240.12210928076126,472426076.0,92.54737431899349,33318263.0,593060.0,0.0,0.0,0.0,0.0
2021-11-18,14215713.0,176891.0,0.0,0.0,0.0,0.0,0.0,211014977.0,-7.832031231498661,47533976.0,769951.0,0.0,0.0,0.0,0.0
2021-07-10,-13607009.0,-163307.0,0.0,0.0,0.0,0.0,0.0,-182183827.0,8.207910515162936,33926967.0,606644.0,0.0,0.0,0.0,0.0
2020-09-12,-27426101.0,-413210.0,2434658.0,1718617.0,94222784.0,0.0,152.195300172834,-501257226.0,-92.92325360265777,6500866.0,193434.0,2434658.0,1718617.0,94222784.0,0.0
2021-12-07,42894983.0,599788.0,-2434658.0,-1718617.0,-94222784.0,0.0,-152.195300172834,706317112.0,83.99413881060096,49395849.0,793222.0,0.0,0.0,0.0,0.0
2021-12-23,2428112.0,24180.0,0.0,0.0,0.0,0.0,0.0,31639779.0,-2.0195162962766346,51823961.0,817402.0,0.0,0.0,0.0,0.0
2020-07-28,-47453183.0,-668322.0,1355363.0,1505742.0,56337026.0,299144.0,169.00646901368674,-737956891.0,-81.97462251432432,4370778.0,149080.0,1355363.0,1505742.0,56337026.0,299144.0
2020-12-21,13828101.0,175466.0,5688451.0,3859450.0,-56337026.0,-299144.0,-169.00646901368674,241306546.0,95.71967783539647,18198879.0,324546.0,7043814.0,5365192.0,0.0,0.0
2020-12-26,960231.0,13017.0,429798.0,164836.0,0.0,0.0,0.0,8970824.0,-0.6318608315401519,19159110.0,337563.0,7473612.0,5530028.0,0.0,0.0
2020-06-10,-17156623.0,-224730.0,-6940108.0,-4727224.0,22556772.0,220602.0,240.50788809945143,-250277370.0,-95.08781700385632,2002487.0,112833.0,533504.0,802804.0,22556772.0,220602.0
2020-11-02,7384818.0,119388.0,3141477.0,1870068.0,131964142.0,-220602.0,-113.02392479345038,0.0,0.0,9387305.0,232221.0,3674981.0,2672872.0,154520914.0,0.0
2020-09-19,-2602492.0,-33274.0,-1097535.0,-903220.0,-53660487.0,0.0,22.97129520454469,0.0,0.0,6784813.0,198947.0,2577446.0,1769652.0,100860427.0,0.0
2020-11-12,3881246.0,45226.0,1473810.0,1458702.0,-100860427.0,0.0,-150.45525851054575,168978445.0,118.85247876407462,10666059.0,244173.0,4051256.0,3228354.0,0.0,0.0
2022-01-04,46435371.0,587299.0,-4051256.0,-3228354.0,0.0,0.0,0.0,590459972.0,-42.34695805157361,57101430.0,831472.0,0.0,0.0,0.0,0.0
2021-02-24,-28658420.0,-324491.0,10554761.0,2082852.0,0.0,0.0,0.0,-406961429.0,19.07830434613112,28443010.0,506981.0,10554761.0,2082852.0,0.0,0.0
2021-05-04,4146371.0,70820.0,-10554761.0,-2082852.0,0.0,0.0,0.0,94034940.0,-3.114619583978211,32589381.0,577801.0,0.0,0.0,0.0,0.0
2020-06-29,-29989286.0,-451991.0,705203.0,981145.0,33415677.0,240826.0,214.23234195192757,-446511928.0,-92.46920547465392,2600095.0,125810.0,705203.0,981145.0,33415677.0,240826.0
2021-12-24,49443576.0,692243.0,-705203.0,-981145.0,-33415677.0,-240826.0,-214.23234195192757,739883042.0,81.83809317198106,52043671.0,818053.0,0.0,0.0,0.0,0.0
2021-01-05,-30801611.0,-454485.0,8377851.0,5962909.0,0.0,0.0,0.0,-473490455.0,11.678232713524977,21242060.0,363568.0,8377851.0,5962909.0,0.0,0.0
2021-07-11,12696262.0,243190.0,-8377851.0,-5962909.0,0.0,0.0,0.0,235100841.0,-0.6052233880743927,33938322.0,606758.0,0.0,0.0,0.0,0.0
2020-05-13,-32546455.0,-522287.0,243430.0,608894.0,10523131.0,149347.0,257.9068848165525,-501493428.0,-92.91110249743164,1391867.0,84471.0,243430.0,608894.0,10523131.0,149347.0
